Species,elevation,soil_type,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
virginica,97.6,sandy,7.03,2.28,5.8,0.93,16.028399999999998,5.394,3.083333333333334,6.236559139784946,1.2120689655172414,2.451612903225806,1.2300000000000004,1.3499999999999996,12.94,9.27,64.16,4.00354842608404,2.3224986544667794,2.971523915461624
virginica,115.6,clay,7.27,3.44,5.71,1.69,25.0088,9.6499,2.113372093023256,3.378698224852071,1.2732049036777582,2.035502958579882,1.5599999999999996,1.75,12.5,11.4,77.2,5.000879922573626,3.106428817790615,2.59161234831449
setosa,125.8,sandy,4.79,3.67,1.33,0.26,17.5793,0.3458,1.305177111716621,5.115384615384616,3.601503759398496,14.115384615384617,3.46,3.41,4.86,19.31,38.11,4.192767582397098,0.5880476171195663,50.83661075766338
virginica,152.4,clay,6.42,3.18,5.49,2.54,20.4156,13.9446,2.0188679245283017,2.161417322834646,1.169398907103825,1.251968503937008,0.9299999999999996,0.6400000000000001,13.43,9.89,71.33,4.518362535255444,3.7342469120292514,1.464050600232348
setosa,280.8,sandy,4.35,2.75,1.39,0.22,11.9625,0.3057999999999999,1.5818181818181818,6.3181818181818175,3.129496402877698,12.5,2.96,2.53,4.92,23.69,45.4,3.458684721104252,0.5529918625079396,39.118705035971225
virginica,210.5,loamy,7.81,3.45,5.25,1.61,26.9445,8.4525,2.2637681159420286,3.260869565217391,1.4876190476190476,2.142857142857143,2.56,1.84,11.8,8.45,74.02,5.19080918547388,2.9073183520213264,3.1877551020408164
versicolor,195.4,clay,5.84,3.0,4.45,1.74,17.52,7.743,1.9466666666666663,2.557471264367816,1.3123595505617978,1.7241379310344829,1.3899999999999997,1.26,7.63,16.64,63.36,4.18568990729127,2.78262466028029,2.262688880278961
virginica,241.7,sandy,6.95,2.35,6.01,1.86,16.3325,11.1786,2.9574468085106385,3.2311827956989245,1.156405990016639,1.2634408602150538,0.9400000000000004,0.49,12.19,10.16,62.42,4.041348784749963,3.343441340894139,1.4610505787844632
versicolor,121.8,loamy,5.69,2.41,4.77,1.22,13.7129,5.819399999999999,2.3609958506224067,3.9098360655737694,1.1928721174004195,1.9754098360655736,0.9200000000000008,1.1900000000000002,8.44,19.33,65.09,3.703093301552096,2.412343259156955,2.3564113138811567
versicolor,170.6,sandy,5.68,2.14,3.72,0.96,12.1552,3.5712,2.654205607476636,3.875,1.5268817204301073,2.229166666666667,1.9599999999999995,1.1800000000000002,6.29,15.2,70.12,3.486430839698387,1.8897618897628348,3.403673835125448
virginica,171.0,clay,6.34,3.09,4.99,2.29,19.5906,11.4271,2.0517799352750807,2.1790393013100435,1.2705410821643286,1.3493449781659388,1.3499999999999996,0.7999999999999998,13.41,7.51,58.7,4.426126975133,3.380399384688147,1.714398228771954
setosa,62.6,sandy,5.14,2.69,1.54,0.24,13.8266,0.3696,1.9107806691449811,6.416666666666667,3.3376623376623376,11.208333333333334,3.6,2.45,5.15,24.05,46.26,3.7184136402503687,0.6079473661428265,37.40963203463203
setosa,144.1,clay,4.91,3.52,1.61,0.48,17.2832,0.7728,1.3948863636363638,3.354166666666667,3.049689440993789,7.333333333333334,3.3,3.04,4.14,19.71,51.02,4.157306820526962,0.8790904390334364,22.36438923395445
versicolor,177.9,clay,5.85,3.48,4.7,1.34,20.358,6.298000000000001,1.6810344827586206,3.5074626865671643,1.2446808510638296,2.5970149253731343,1.1499999999999997,2.14,8.25,17.54,60.16,4.511984042524973,2.5095816384409577,3.2324547475389003
virginica,103.8,clay,7.92,2.85,6.48,2.24,22.572,14.515200000000002,2.7789473684210524,2.892857142857143,1.222222222222222,1.2723214285714284,1.4399999999999995,0.6099999999999999,9.1,8.46,78.41,4.750999894758997,3.8098818879330105,1.5550595238095235
virginica,237.4,loamy,7.03,3.07,4.33,1.81,21.5821,7.8373,2.2899022801302933,2.3922651933701657,1.6235565819861433,1.6961325966850826,2.7,1.2599999999999998,9.41,10.28,61.91,4.6456538829318745,2.799517815624684,2.7537672412693146
versicolor,152.6,clay,6.54,2.66,4.21,1.44,17.3964,6.062399999999999,2.4586466165413534,2.923611111111111,1.5534441805225654,1.8472222222222223,2.33,1.2200000000000002,7.37,12.09,55.53,4.170899183629353,2.462194143441983,2.8695566112430724
setosa,259.0,clay,4.97,3.63,1.56,0.27,18.0411,0.4212,1.3691460055096418,5.777777777777778,3.185897435897436,13.444444444444445,3.41,3.36,5.02,19.36,42.58,4.247481606787721,0.6489992295835181,42.83262108262108
virginica,170.8,sandy,7.11,3.21,5.45,1.59,22.8231,8.665500000000002,2.2149532710280373,3.4276729559748427,1.3045871559633029,2.0188679245283017,1.66,1.62,13.78,12.36,65.92,4.77735282347871,2.9437221336260664,2.633789163925913
setosa,51.8,loamy,5.12,4.15,1.48,0.28,21.248,0.4144,1.233734939759036,5.285714285714286,3.45945945945946,14.821428571428571,3.64,3.87,4.96,20.66,51.15,4.609555293084139,0.6437390775772432,51.27413127413127
versicolor,88.9,sandy,7.21,2.81,4.75,1.41,20.2601,6.6975,2.565836298932384,3.368794326241135,1.5178947368421052,1.99290780141844,2.46,1.4,10.52,13.73,57.69,4.501122082325695,2.587952858921507,3.0250242627846213
virginica,205.4,loamy,7.17,3.0,5.6,2.01,21.51,11.255999999999998,2.39,2.7860696517412937,1.280357142857143,1.492537313432836,1.5700000000000005,0.9900000000000002,12.88,9.52,62.61,4.637887450122092,3.354996274215517,1.9109808102345416
virginica,87.7,clay,6.69,3.26,6.54,1.85,21.8094,12.099,2.052147239263804,3.535135135135135,1.0229357798165135,1.762162162162162,0.1500000000000003,1.4099999999999997,11.84,8.35,71.08,4.670053532883751,3.478361683321618,1.8025787255145052
setosa,137.5,clay,6.28,3.79,1.62,0.41,23.8012,0.6642,1.6569920844327175,3.9512195121951215,3.876543209876543,9.24390243902439,4.66,3.38,5.69,19.05,61.1,4.878647353519211,0.8149846624323676,35.834387232761216
setosa,175.9,loamy,5.46,3.68,1.23,0.21,20.0928,0.2583,1.4836956521739129,5.857142857142858,4.439024390243903,17.523809523809526,4.23,3.47,4.81,23.59,49.85,4.4824993028443405,0.5082322303829224,77.78861788617887
setosa,144.0,sandy,5.63,3.26,1.7,0.27,18.3538,0.459,1.7269938650306749,6.296296296296296,3.311764705882353,12.074074074074073,3.93,2.99,5.24,17.49,47.72,4.284133517994041,0.677495387438173,39.98649237472767
virginica,81.6,clay,7.55,2.88,6.23,2.65,21.744,16.5095,2.6215277777777777,2.3509433962264152,1.2118780096308186,1.0867924528301889,1.3199999999999994,0.2299999999999999,13.62,5.97,78.49,4.663046214654107,4.063188403212433,1.3170598746176445
versicolor,219.3,clay,5.38,2.73,3.64,1.14,14.6874,4.1496,1.9706959706959704,3.1929824561403515,1.478021978021978,2.3947368421052637,1.7399999999999998,1.59,6.07,14.63,52.23,3.8324143826053048,2.037056700241797,3.539473684210527
versicolor,96.7,loamy,5.86,2.38,4.27,1.34,13.9468,5.7218,2.46218487394958,3.186567164179104,1.3723653395784543,1.7761194029850744,1.5900000000000007,1.0399999999999998,8.49,12.97,58.73,3.734541471184917,2.3920284279247186,2.4374847076094937
versicolor,97.8,loamy,6.93,3.62,4.79,1.44,25.0866,6.8976,1.9143646408839776,3.326388888888889,1.4467640918580376,2.513888888888889,2.14,2.18,8.84,15.65,64.02,5.008652513401184,2.6263282353887147,3.6370041753653446
versicolor,198.1,sandy,5.59,2.28,4.15,1.43,12.7452,5.9345,2.451754385964912,2.9020979020979025,1.3469879518072287,1.5944055944055944,1.4399999999999995,0.8499999999999999,8.12,16.17,69.32,3.570042016559469,2.43608292141298,2.147645125958378
versicolor,234.9,sandy,5.11,2.1,4.4,1.22,10.731000000000002,5.368,2.4333333333333336,3.606557377049181,1.1613636363636364,1.7213114754098362,0.71,0.8800000000000001,7.12,18.28,66.5,3.2758205079033256,2.3168944732119328,1.9990685543964235
versicolor,264.7,loamy,6.18,2.86,4.53,1.1,17.674799999999998,4.9830000000000005,2.160839160839161,4.118181818181818,1.3642384105960264,2.6,1.6499999999999997,1.7599999999999998,9.36,15.75,51.82,4.204140815909952,2.232263425315212,3.547019867549668
virginica,90.5,sandy,6.97,2.66,6.23,1.26,18.5402,7.849800000000001,2.620300751879699,4.944444444444445,1.118780096308186,2.111111111111111,0.7399999999999993,1.4,11.99,10.84,70.88,4.305833252693374,2.80174945346653,2.3618690922061703
versicolor,181.7,clay,5.96,3.03,3.63,1.3,18.0588,4.719,1.966996699669967,2.792307692307692,1.6418732782369143,2.3307692307692305,2.33,1.7299999999999998,7.69,18.71,53.54,4.249564683588191,2.172325942394465,3.826827717736808
versicolor,227.2,loamy,6.16,2.53,5.02,1.02,15.5848,5.1204,2.4347826086956523,4.92156862745098,1.2270916334661357,2.4803921568627447,1.1400000000000006,1.5099999999999998,6.45,14.52,68.52,3.9477588578838,2.262830086418333,3.0436684634012967
versicolor,133.0,sandy,5.94,2.12,3.52,1.28,12.592800000000002,4.5056,2.80188679245283,2.75,1.6875,1.65625,2.4200000000000004,0.8400000000000001,8.87,12.63,52.08,3.548633539829099,2.122639865827456,2.7949218750000004
setosa,177.4,clay,4.57,4.29,1.35,0.4,19.6053,0.54,1.0652680652680653,3.375,3.3851851851851853,10.725,3.22,3.89,4.89,21.33,36.97,4.427787257762053,0.7348469228349535,36.30611111111111
versicolor,289.4,sandy,5.93,2.42,4.42,1.13,14.350599999999998,4.994599999999999,2.450413223140496,3.911504424778762,1.341628959276018,2.1415929203539825,1.5099999999999998,1.29,8.98,15.07,68.79,3.788218578698964,2.2348601745970598,2.873223080927401
setosa,245.8,loamy,5.06,3.81,1.81,0.22,19.2786,0.3982,1.328083989501312,8.227272727272727,2.7955801104972373,17.318181818181817,3.25,3.59,4.96,16.34,52.99,4.390740256494341,0.63103090257134,48.41436464088397
setosa,177.4,loamy,5.09,3.47,1.69,0.35,17.662300000000002,0.5914999999999999,1.4668587896253602,4.828571428571428,3.0118343195266277,9.914285714285716,3.4,3.12,5.68,13.18,54.54,4.202653923415537,0.76909037180295,29.860185967878284
virginica,170.9,loamy,6.21,3.45,5.23,1.55,21.4245,8.1065,1.7999999999999998,3.374193548387097,1.187380497131931,2.2258064516129035,0.9799999999999996,1.9,12.63,8.49,70.11,4.628660713424565,2.847191598751303,2.642879171035589
setosa,245.7,loamy,4.71,3.9,2.04,0.23,18.369,0.4692,1.2076923076923076,8.869565217391305,2.3088235294117645,16.956521739130434,2.67,3.67,5.29,16.26,46.82,4.285907138518052,0.6849817515817483,39.149616368286445
virginica,79.9,loamy,6.83,3.25,5.07,2.03,22.1975,10.2921,2.1015384615384614,2.4975369458128083,1.3471400394477318,1.600985221674877,1.7599999999999998,1.2200000000000002,13.25,9.13,76.13,4.711422290561525,3.208130296605797,2.156751294682329
virginica,232.4,loamy,6.71,3.57,5.39,1.94,23.9547,10.4566,1.8795518207282915,2.778350515463917,1.2448979591836735,1.8402061855670104,1.3200000000000005,1.63,13.8,11.13,78.57,4.894353889942982,3.2336666494863078,2.2908689248895437
setosa,171.1,sandy,5.28,2.69,1.21,0.31,14.2032,0.3751,1.962825278810409,3.903225806451613,4.363636363636364,8.67741935483871,4.07,2.38,5.17,22.99,47.07,3.768713308279101,0.6124540799113024,37.86510263929619
versicolor,117.7,sandy,6.82,2.57,4.26,1.12,17.5274,4.7712,2.653696498054475,3.803571428571428,1.6009389671361505,2.2946428571428568,2.5600000000000005,1.4499999999999995,7.31,11.38,65.66,4.186573778162759,2.1843076706361675,3.6735831656606304
virginica,117.6,loamy,6.28,2.65,4.81,1.88,16.642,9.042799999999998,2.3698113207547173,2.5585106382978724,1.3056133056133057,1.4095744680851063,1.4700000000000006,0.77,10.28,10.69,68.54,4.079460748677453,3.007124872698172,1.840359180784713
virginica,114.1,loamy,6.87,2.84,6.36,2.11,19.5108,13.4196,2.4190140845070425,3.014218009478673,1.080188679245283,1.3459715639810426,0.5099999999999998,0.73,12.98,7.99,61.48,4.417103123088706,3.663277221286972,1.4539032459983905
setosa,256.1,loamy,4.76,3.17,1.62,0.37,15.089199999999998,0.5994,1.501577287066246,4.378378378378379,2.9382716049382718,8.567567567567567,3.14,2.8,5.3,19.91,58.38,3.88448194744164,0.7742092740338364,25.17384050717384
versicolor,146.0,clay,6.76,2.83,4.19,1.41,19.1308,5.907900000000001,2.3886925795053,2.9716312056737597,1.6133651551312649,2.0070921985815606,2.5699999999999994,1.4200000000000002,6.39,15.39,59.33,4.373876998727788,2.4306172055673434,3.2381726163272906
virginica,179.3,loamy,7.09,3.0,5.39,2.14,21.27,11.5346,2.3633333333333333,2.5186915887850465,1.3153988868274582,1.4018691588785046,1.7000000000000002,0.8599999999999999,12.52,10.91,78.56,4.611941023040083,3.396262651798297,1.8440171310665303
versicolor,205.6,clay,5.7,2.5,4.31,1.38,14.25,5.947799999999999,2.28,3.1231884057971016,1.322505800464037,1.8115942028985508,1.3900000000000006,1.12,8.17,17.32,56.0,3.774917217635375,2.438811185803444,2.3958438414203576
versicolor,204.8,clay,4.62,2.89,4.03,1.45,13.3518,5.843500000000001,1.5986159169550174,2.7793103448275867,1.1464019851116625,1.9931034482758625,0.5899999999999999,1.4400000000000002,8.26,13.79,59.11,3.654011494234795,2.4173332414046684,2.284897749636348
versicolor,120.1,clay,5.7,3.72,5.61,1.49,21.204,8.3589,1.532258064516129,3.76510067114094,1.0160427807486632,2.4966442953020134,0.0899999999999998,2.2300000000000004,9.88,16.4,65.96,4.604780125043974,2.891176231224932,2.536697412338944
setosa,110.1,sandy,5.39,3.07,1.68,0.27,16.5473,0.4536,1.755700325732899,6.222222222222221,3.208333333333333,11.370370370370368,3.71,2.8,4.99,15.65,57.6,4.067837263214939,0.6734983296193094,36.47993827160494
setosa,81.5,sandy,5.13,3.04,1.66,0.15,15.5952,0.2489999999999999,1.6875,11.066666666666666,3.0903614457831328,20.26666666666667,3.47,2.89,4.85,19.66,35.44,3.94907584125704,0.4989989979949859,62.631325301204825
versicolor,273.7,clay,5.24,3.13,3.42,1.35,16.4012,4.617,1.674121405750799,2.533333333333333,1.5321637426900585,2.3185185185185184,1.8200000000000005,1.7799999999999998,7.0,15.81,58.24,4.04983950299268,2.148720549536398,3.5523500108295427
versicolor,171.3,sandy,6.29,2.33,4.12,1.16,14.6557,4.7792,2.699570815450644,3.5517241379310347,1.5266990291262137,2.0086206896551726,2.17,1.1700000000000002,8.6,13.7,47.03,3.828276374558138,2.1861381475103534,3.066559256779378
virginica,196.4,loamy,5.82,3.11,5.84,2.23,18.1002,13.0232,1.8713826366559487,2.618834080717489,0.9965753424657536,1.3946188340807175,-0.0199999999999995,0.8799999999999999,12.98,8.82,64.47,4.254432982196335,3.6087671024880494,1.389842742183181
virginica,258.7,clay,6.92,3.43,5.05,2.11,23.7356,10.655499999999998,2.017492711370262,2.393364928909953,1.3702970297029704,1.6255924170616116,1.87,1.3200000000000005,9.35,9.83,73.46,4.871919539565488,3.26427633634164,2.2275444606071986
virginica,73.6,clay,6.79,3.25,4.72,2.26,22.0675,10.667199999999998,2.089230769230769,2.088495575221239,1.4385593220338984,1.4380530973451329,2.0700000000000003,0.9900000000000002,13.13,9.16,74.39,4.697605773157215,3.2660679723484014,2.068724688765562
virginica,96.7,loamy,8.65,3.05,6.21,1.83,26.3825,11.3643,2.836065573770492,3.39344262295082,1.392914653784219,1.6666666666666663,2.4400000000000004,1.2199999999999998,13.45,10.04,75.3,5.13638978271704,3.3710977440590475,2.3215244229736984
virginica,175.5,loamy,6.13,3.21,5.34,1.79,19.6773,9.5586,1.909657320872274,2.983240223463687,1.147940074906367,1.7932960893854748,0.79,1.42,10.79,11.15,70.71,4.435910278623768,3.091698562279318,2.058596447178457
versicolor,125.9,clay,5.89,2.81,4.62,1.2,16.5509,5.544,2.096085409252669,3.85,1.2748917748917747,2.341666666666667,1.2699999999999996,1.61,8.45,13.9,54.98,4.068279734728181,2.3545700244418297,2.9853715728715726
virginica,248.2,loamy,5.37,3.12,4.73,1.68,16.7544,7.946400000000001,1.721153846153846,2.8154761904761907,1.135306553911205,1.8571428571428568,0.6399999999999997,1.4400000000000002,10.16,10.14,70.12,4.09321389619453,2.818935969475008,2.1084264572636666
virginica,146.6,sandy,7.69,2.38,5.41,1.76,18.3022,9.5216,3.2310924369747904,3.073863636363636,1.421441774491682,1.3522727272727273,2.28,0.6199999999999999,13.7,12.25,70.71,4.278107058033962,3.0857089947044587,1.922176945051252
versicolor,283.4,clay,6.2,2.71,4.5,1.7,16.802,7.649999999999999,2.2878228782287824,2.647058823529412,1.3777777777777778,1.5941176470588236,1.7000000000000002,1.01,7.19,17.16,59.11,4.099024274141347,2.765863337187866,2.196339869281046
virginica,161.1,clay,6.91,3.3,6.77,2.6,22.803,17.602,2.093939393939394,2.603846153846153,1.020679468242245,1.2692307692307692,0.1400000000000005,0.6999999999999997,13.14,11.55,64.37,4.77524868462366,4.195473751556551,1.2954777866151574
virginica,187.7,clay,5.99,3.49,5.78,2.19,20.9051,12.6582,1.7163323782234956,2.6392694063926943,1.0363321799307958,1.5936073059360731,0.2099999999999999,1.3000000000000005,13.42,7.84,74.08,4.572209531506622,3.5578364211975795,1.6515065333143732
versicolor,160.5,clay,5.0,2.79,3.93,1.31,13.95,5.148300000000001,1.7921146953405018,3.0,1.272264631043257,2.1297709923664123,1.0699999999999998,1.48,7.37,12.06,55.36,3.73496987939662,2.268986557915229,2.7096323058096843
setosa,102.5,clay,4.86,3.63,1.45,0.35,17.6418,0.5075,1.3388429752066118,4.142857142857143,3.351724137931035,10.371428571428572,3.41,3.28,4.47,19.86,51.0,4.200214280248092,0.7123903424387503,34.762167487684735
setosa,64.0,loamy,5.22,3.05,1.8,0.27,15.920999999999998,0.486,1.7114754098360656,6.666666666666666,2.9,11.296296296296294,3.42,2.78,5.11,17.62,50.11,3.990112780360976,0.6971370023173351,32.75925925925925
setosa,117.4,clay,5.46,3.15,1.29,0.3,17.198999999999998,0.387,1.7333333333333334,4.300000000000001,4.232558139534883,10.5,4.17,2.85,4.86,24.01,42.15,4.147167708207615,0.6220932405998316,44.44186046511627
setosa,236.2,clay,4.86,4.59,1.46,0.33,22.3074,0.4818,1.0588235294117647,4.424242424242424,3.328767123287672,13.909090909090908,3.4000000000000004,4.26,5.12,24.67,48.66,4.723071034824693,0.6941181455631311,46.300124533001245
setosa,175.2,loamy,4.65,3.33,1.12,0.16,15.484500000000002,0.1792,1.3963963963963966,7.000000000000001,4.151785714285714,20.8125,3.53,3.17,5.02,19.2,43.79,3.935034942665694,0.4233202097703345,86.40904017857143
versicolor,70.0,loamy,6.05,2.86,3.86,1.5,17.302999999999997,5.79,2.1153846153846154,2.5733333333333333,1.567357512953368,1.9066666666666665,2.19,1.36,7.28,14.83,61.39,4.159687488261588,2.406241883103193,2.9884283246977543
setosa,184.5,loamy,4.54,3.54,1.36,0.34,16.0716,0.4624000000000001,1.2824858757062148,4.0,3.3382352941176467,10.411764705882351,3.18,3.2,5.09,20.92,45.67,4.008940009528703,0.68,34.756920415224904
setosa,63.8,clay,5.81,3.57,1.61,0.49,20.7417,0.7889,1.6274509803921569,3.285714285714286,3.6086956521739126,7.285714285714286,4.199999999999999,3.08,5.46,19.16,47.38,4.554305655091674,0.8882004278314665,26.291925465838503
virginica,128.6,sandy,6.66,2.91,6.63,2.02,19.3806,13.3926,2.288659793814433,3.282178217821782,1.004524886877828,1.4405940594059403,0.0300000000000002,0.8900000000000001,16.6,4.36,74.39,4.402340286711149,3.659590140985736,1.4471125845616235
setosa,147.6,loamy,5.11,3.54,1.5,0.19,18.0894,0.285,1.4435028248587571,7.894736842105263,3.4066666666666667,18.63157894736842,3.61,3.35,4.44,18.67,51.76,4.253163528480888,0.5338539126015656,63.47157894736842
versicolor,223.5,clay,6.08,2.66,4.33,1.42,16.172800000000002,6.1486,2.2857142857142856,3.0492957746478875,1.4041570438799076,1.8732394366197185,1.75,1.2400000000000002,6.26,13.12,60.66,4.021541992818178,2.47963707021814,2.630322349803208
setosa,129.8,sandy,5.34,3.15,1.33,0.2,16.820999999999998,0.266,1.6952380952380952,6.65,4.015037593984962,15.749999999999998,4.01,2.95,3.31,19.77,50.28,4.101341244032249,0.5157518783291051,63.23684210526314
virginica,120.7,sandy,6.21,2.17,6.03,1.54,13.4757,9.2862,2.8617511520737327,3.915584415584416,1.0298507462686566,1.409090909090909,0.1799999999999997,0.6299999999999999,14.6,14.11,68.21,3.670926313616224,3.0473266972873128,1.4511533242876524
virginica,215.9,clay,5.83,3.25,6.11,2.41,18.9475,14.7251,1.793846153846154,2.5352697095435683,0.9541734860883796,1.3485477178423235,-0.2800000000000002,0.8399999999999999,12.96,10.81,66.75,4.352872614722375,3.837329800785958,1.2867484770901385
virginica,119.5,sandy,7.34,2.6,5.8,1.77,19.084,10.266,2.823076923076923,3.2768361581920904,1.2655172413793103,1.4689265536723164,1.54,0.8300000000000001,13.52,10.21,84.7,4.368523778120019,3.204059924533248,1.8589518799922076
virginica,183.5,sandy,5.57,2.6,6.09,1.62,14.482,9.8658,2.142307692307692,3.759259259259259,0.9146141215106732,1.6049382716049383,-0.5199999999999996,0.98,12.66,7.9,79.31,3.805522303179946,3.140987105990727,1.467899207362809
virginica,121.1,sandy,7.12,2.25,5.17,1.26,16.02,6.5142,3.1644444444444444,4.103174603174603,1.377176015473888,1.7857142857142858,1.95,0.99,8.04,12.56,73.12,4.0024992192379,2.552293086618384,2.4592428847748
setosa,223.0,clay,4.78,3.31,1.46,0.28,15.8218,0.4088,1.444108761329305,5.2142857142857135,3.2739726027397262,11.821428571428571,3.3200000000000003,3.03,4.64,20.95,62.36,3.977662630239021,0.6393746945258313,38.70303326810176
setosa,266.7,sandy,4.56,2.47,1.48,0.29,11.2632,0.4291999999999999,1.8461538461538456,5.103448275862069,3.0810810810810807,8.517241379310347,3.08,2.18,5.45,21.46,54.73,3.356069129204582,0.655133574166368,26.24231127679404
versicolor,133.5,sandy,5.65,2.15,5.24,1.47,12.1475,7.7028,2.6279069767441863,3.5646258503401365,1.0782442748091603,1.4625850340136055,0.4100000000000001,0.6799999999999999,10.51,15.92,64.44,3.48532638356869,2.7753918642238613,1.5770239393467311
virginica,104.8,clay,6.95,3.19,5.45,2.7,22.1705,14.715000000000002,2.178683385579937,2.0185185185185186,1.275229357798165,1.1814814814814814,1.5,0.4899999999999997,14.67,11.82,85.71,4.7085560419304775,3.836013555763327,1.5066598708800545
setosa,111.7,sandy,5.17,3.33,1.5,0.36,17.2161,0.54,1.5525525525525523,4.166666666666667,3.4466666666666668,9.25,3.67,2.97,5.22,19.83,57.71,4.149228844014271,0.7348469228349535,31.881666666666668
virginica,202.9,clay,5.37,3.11,5.18,2.97,16.7007,15.3846,1.7266881028938907,1.744107744107744,1.0366795366795367,1.047138047138047,0.1900000000000004,0.1399999999999996,15.2,9.84,76.76,4.086648993980276,3.922320741601839,1.0855465855465856
setosa,147.4,sandy,5.39,3.81,1.71,0.32,20.5359,0.5472,1.4146981627296586,5.34375,3.152046783625731,11.90625,3.68,3.49,5.63,18.58,50.47,4.531655326699064,0.7397296803562772,37.529057017543856
setosa,98.3,sandy,4.89,2.73,1.68,0.22,13.3497,0.3696,1.791208791208791,7.636363636363636,2.9107142857142856,12.409090909090908,3.21,2.51,4.46,18.96,47.66,3.6537241275170182,0.6079473661428265,36.11931818181818
versicolor,290.4,sandy,6.25,1.7,4.04,0.97,10.625,3.9188,3.6764705882352944,4.164948453608248,1.547029702970297,1.7525773195876289,2.21,0.73,6.58,13.37,52.97,3.259601202601325,1.979595918363139,2.711289170154129
